AwayEFG,AwayFT/FGA,AwayORB,AwayScore,AwayTOV,HomeEFG,HomeFT/FGA,HomeORB,HomeScore,HomeTOV,pace,url
0.5,0.256,26.5,108,9,0.625,0.303,22.2,118,12.7,94.1,http://www.basketball-reference.com/boxscores/201511110DAL.html
0.595,0.101,26.7,102,16.2,0.544,0.215,35.9,103,13.5,87.6,http://www.basketball-reference.com/boxscores/201511110DEN.html
0.469,0.143,38.5,106,9.4,0.469,0.061,24.5,98,6.3,93.9,http://www.basketball-reference.com/boxscores/201511110HOU.html
0.553,0.227,18.4,100,21.3,0.364,0.471,25.6,84,19.7,96.1,http://www.basketball-reference.com/boxscores/201511110MEM.html
0.538,0.177,18.4,99,13,0.465,0.08,39,101,7.1,89.5,http://www.basketball-reference.com/boxscores/201511110ORL.html
0.511,0.315,39.5,119,7.2,0.529,0.126,22,103,10.4,91.8,http://www.basketball-reference.com/boxscores/201511110PHI.html
0.604,0.171,23.5,113,10.9,0.494,0.159,22.7,101,8.4,92.7,http://www.basketball-reference.com/boxscores/201511110POR.html
0.433,0.169,26.4,92,14.1,0.561,0.243,18.4,101,17.6,95.9,http://www.basketball-reference.com/boxscores/201511110SAC.html
0.404,0.213,22,91,9.1,0.494,0.208,20.5,92,14.6,94.5,http://www.basketball-reference.com/boxscores/201511120MIA.html
0.64,0.169,15.8,129,10.3,0.511,0.31,35.7,116,11.2,98.5,http://www.basketball-reference.com/boxscores/201511120MIN.html
0.494,0.167,24.5,104,12,0.614,0.193,26.5,118,17.1,100.7,http://www.basketball-reference.com/boxscores/201511120PHO.html
0.513,0.197,13.2,93,15.9,0.461,0.107,36.2,106,8.5,94.3,http://www.basketball-reference.com/boxscores/201511130BOS.html
0.458,0.105,16.1,97,5.6,0.464,0.286,21.7,102,10.1,96.1,http://www.basketball-reference.com/boxscores/201511130CHI.html
0.381,0.17,26.8,82,17.3,0.409,0.28,14.3,90,13.7,99.5,http://www.basketball-reference.com/boxscores/201511130DAL.html
0.487,0.299,19,98,18.1,0.512,0.296,27.3,107,15.9,99.7,http://www.basketball-reference.com/boxscores/201511130DEN.html
0.548,0.145,22.2,103,14.5,0.535,0.174,27.9,107,10.3,93.1,http://www.basketball-reference.com/boxscores/201511130IND.html
0.536,0.377,32.3,100,21.2,0.453,0.267,29.8,101,7.6,89.5,http://www.basketball-reference.com/boxscores/201511130MEM.html
0.462,0.231,25,90,11.6,0.424,0.215,21.3,84,13.7,90.2,http://www.basketball-reference.com/boxscores/201511130NYK.html
0.378,0.233,23.5,85,14.7,0.443,0.165,34,102,10.9,98.7,http://www.basketball-reference.com/boxscores/201511130OKC.html
0.437,0.195,25.5,93,14.9,0.487,0.368,25.6,102,18.2,97.5,http://www.basketball-reference.com/boxscores/201511130ORL.html
0.517,0.191,20.5,109,13.2,0.484,0.213,30,111,11.7,101.6,http://www.basketball-reference.com/boxscores/201511130SAC.html
0.409,0.171,22.2,81,13.4,0.5,0.299,31.7,100,14.4,89.9,http://www.basketball-reference.com/boxscores/201511130TOR.html
0.429,0.153,22,99,10.3,0.505,0.093,22,107,12.1,93,http://www.basketball-reference.com/boxscores/201511140GSW.html
0.528,0.18,20.5,110,10.1,0.435,0.298,24.5,98,10.9,96.7,http://www.basketball-reference.com/boxscores/201511140HOU.html
0.493,0.311,26.2,96,14.4,0.513,0.253,26.2,101,12.6,91.1,http://www.basketball-reference.com/boxscores/201511140LAC.html
0.484,0.187,28,105,16.3,0.451,0.157,27.3,108,9.7,87.4,http://www.basketball-reference.com/boxscores/201511140MIL.html
0.378,0.071,16.1,81,9,0.506,0.238,23.3,105,17.3,101.4,http://www.basketball-reference.com/boxscores/201511140PHO.html
0.451,0.11,12.5,83,14.7,0.418,0.247,25.5,92,11.9,94.3,http://www.basketball-reference.com/boxscores/201511140SAS.html
0.46,0.218,12.5,99,11,0.542,0.217,15.2,108,10.4,99.6,http://www.basketball-reference.com/boxscores/201511140WAS.html
0.559,0.158,28.6,97,16.9,0.539,0.184,21.1,96,15.2,88.8,http://www.basketball-reference.com/boxscores/201511150ATL.html
0.421,0.213,34.8,94,10.9,0.548,0.181,18.9,106,10.7,91.2,http://www.basketball-reference.com/boxscores/201511150CHO.html
0.401,0.083,23.5,85,8.9,0.453,0.387,17.1,97,14.8,97.6,http://www.basketball-reference.com/boxscores/201511150LAL.html
0.627,0.352,14.3,114,15.3,0.53,0.232,23.1,106,11.6,92.2,http://www.basketball-reference.com/boxscores/201511150MIN.html
0.493,0.239,11.4,87,18.5,0.455,0.17,23.8,95,8.5,91.8,http://www.basketball-reference.com/boxscores/201511150NYK.html
0.53,0.159,33.3,100,16.5,0.403,0.299,22.2,85,16.7,93.8,http://www.basketball-reference.com/boxscores/201511150OKC.html
0.523,0.115,17.5,101,13.9,0.579,0.25,23.7,107,18,96.8,http://www.basketball-reference.com/boxscores/201511150SAC.html
0.454,0.184,22.4,95,11,0.442,0.233,20.4,96,7.4,95.9,http://www.basketball-reference.com/boxscores/201511160CHI.html
0.532,0.129,33.3,111,15.9,0.488,0.141,29.8,95,18.8,101,http://www.basketball-reference.com/boxscores/201511160HOU.html
0.568,0.272,35.3,114,16.7,0.512,0.429,27.3,122,9,96.6,http://www.basketball-reference.com/boxscores/201511160MEM.html
0.441,0.329,13.6,92,17.6,0.48,0.171,19.5,86,24.2,101.3,http://www.basketball-reference.com/boxscores/201511160PHI.html
0.539,0.234,17.9,101,15.7,0.543,0.204,37.5,120,8.8,93.5,http://www.basketball-reference.com/boxscores/201511160PHO.html
0.46,0.147,10.3,80,12.9,0.466,0.112,25.5,93,6,86.8,http://www.basketball-reference.com/boxscores/201511160SAS.html
0.513,0.132,18.6,88,19.6,0.494,0.083,20,90,10.9,91.6,http://www.basketball-reference.com/boxscores/201511170BRK.html
0.544,0.15,7.5,99,13.6,0.47,0.298,22.9,104,11.7,98.1,http://www.basketball-reference.com/boxscores/201511170DET.html
0.506,0.38,32.4,110,15.8,0.606,0.225,24.3,115,17.9,99.6,http://www.basketball-reference.com/boxscores/201511170GSW.html
0.392,0.278,26.8,103,6.6,0.487,0.177,20.4,91,19.3,102.6,http://www.basketball-reference.com/boxscores/201511170MIA.html
0.618,0.118,30.6,115,12.5,0.536,0.108,20,98,9.3,88.8,http://www.basketball-reference.com/boxscores/201511170NOP.html
0.47,0.207,18.6,94,7,0.461,0.225,22.7,102,9.2,92.2,http://www.basketball-reference.com/boxscores/201511170NYK.html
0.5,0.194,14.3,86,18.7,0.614,0.414,17.6,115,12,93.3,http://www.basketball-reference.com/boxscores/201511170WAS.html
0.471,0.186,28.3,97,17.6,0.478,0.202,23.5,103,9.9,97.7,http://www.basketball-reference.com/boxscores/201511180ATL.html
0.563,0.347,19.4,106,16.3,0.457,0.196,30.4,102,12,96.9,http://www.basketball-reference.com/boxscores/201511180BOS.html
0.511,0.198,11.1,111,8.2,0.556,0.338,22,116,13.5,101.5,http://www.basketball-reference.com/boxscores/201511180CHO.html
0.449,0.273,20.8,103,15.9,0.424,0.326,25.5,108,13.7,96.6,http://www.basketball-reference.com/boxscores/201511180HOU.html
0.495,0.095,22.7,103,10,0.488,0.318,34.8,110,12,97.2,http://www.basketball-reference.com/boxscores/201511180OKC.html
0.447,0.294,24.4,101,12.5,0.414,0.118,30.3,104,7,92,http://www.basketball-reference.com/boxscores/201511180ORL.html
0.522,0.174,30.8,112,15.2,0.493,0.132,17.9,85,25.9,102.5,http://www.basketball-reference.com/boxscores/201511180PHI.html
0.548,0.145,27.5,103,17.6,0.451,0.165,28,97,10.7,95.2,http://www.basketball-reference.com/boxscores/201511180PHO.html
0.413,0.173,29.8,98,5.4,0.541,0.186,23.3,109,9.5,92.6,http://www.basketball-reference.com/boxscores/201511180SAS.html
0.456,0.2,20.9,89,13.7,0.535,0.222,20,93,17.2,90.4,http://www.basketball-reference.com/boxscores/201511180UTA.html
0.541,0.288,16.7,100,11.5,0.641,0.338,44.8,115,16.8,86.6,http://www.basketball-reference.com/boxscores/201511190CLE.html
0.637,0.425,23.5,124,17.6,0.574,0.182,20,117,9.2,97.9,http://www.basketball-reference.com/boxscores/201511190LAC.html
0.583,0.131,23.7,109,16.2,0.511,0.281,26.7,116,6.3,97.7,http://www.basketball-reference.com/boxscores/201511190MIA.html
0.438,0.191,29.2,95,16,0.644,0.092,18.9,120,14.9,100.2,http://www.basketball-reference.com/boxscores/201511200BOS.html
0.456,0.203,20,88,16.1,0.568,0.259,13.2,113,10.8,94.9,http://www.basketball-reference.com/boxscores/201511200CHO.html
0.475,0.213,40.9,93,16,0.518,0.193,21.1,102,8.1,86.8,http://www.basketball-reference.com/boxscores/201511200DAL.html
0.601,0.241,29.4,114,17.4,0.483,0.222,30.4,107,9.8,95.6,http://www.basketball-reference.com/boxscores/201511200DEN.html
0.438,0.193,28.3,94,10.9,0.557,0.228,28.2,106,14.3,92.3,http://www.basketball-reference.com/boxscores/201511200GSW.html
0.532,0.244,27.3,102,11.9,0.506,0.169,23.7,91,15.1,87.5,http://www.basketball-reference.com/boxscores/201511200LAL.html
0.419,0.297,18.8,84,20.3,0.471,0.188,16.7,96,10.5,98.7,http://www.basketball-reference.com/boxscores/201511200MEM.html
0.494,0.115,19,96,13.1,0.448,0.221,14,86,16.2,97,http://www.basketball-reference.com/boxscores/201511200MIN.html
0.458,0.155,9.8,90,8.1,0.5,0.182,15.6,104,8.6,94.5,http://www.basketball-reference.com/boxscores/201511200NOP.html
0.542,0.208,17.6,93,19.6,0.397,0.185,41.2,90,12.1,92,http://www.basketball-reference.com/boxscores/201511200OKC.html
0.483,0.093,20.8,91,12.3,0.467,0.2,34.7,102,12.2,94.5,http://www.basketball-reference.com/boxscores/201511200POR.html
